Symbol, TimeStamp,  QuoteTimeStamp, SequenceNumber, BidTimeStamp,Bid, BidSize,  BidExchange, AskTimeStamp, Ask, AskSize, AskExchange,BidVol,MidVol,AskVol,Delta,EstDelta,Gamma,Rho,Vega,Theta,UnderlierBid,UnderlierAsk,ForwardPrice,Borrow,Reserved1,Reserved2,WMP,PFE
SPY   160527C00149000,5/26/2016 8:45:00 AM,5/26/2016 8:44:58 AM,3770052,5/26/2016 8:44:52 AM,60.49,10,C,5/26/2016 8:44:57 AM,60.77,10,C,0,0,2.60509,0.98875,0.98875,0.00091,0.0029,0.00323,-0.12435,209.64,209.64999,209.64517,0.00017,60.645,-0.015,0,0,
SPY   160527C00150000,5/26/2016 8:45:00 AM,5/26/2016 8:44:58 AM,3770055,5/26/2016 8:44:54 AM,59.49,15,C,5/26/2016 8:44:57 AM,59.77,15,C,0,0,2.5598,0.98857,0.98857,0.00094,0.00267,0.00399,-0.12417,209.64,209.64999,209.64517,0.00017,59.645,-0.015,0,0,
SPY   160527C00155000,5/26/2016 8:45:00 AM,5/26/2016 8:44:58 AM,3770062,5/26/2016 8:44:52 AM,54.49,10,C,5/26/2016 8:44:57 AM,54.77,10,C,0,0,2.33568,0.98757,0.98757,0.0011,0.00309,0.00407,-0.12428,209.64,209.64999,209.64517,0.00017,54.645,-0.015,0,0,
SPY   160527C00160000,5/26/2016 8:45:00 AM,5/26/2016 8:44:58 AM,3770032,5/26/2016 8:44:54 AM,49.49,15,C,5/26/2016 8:44:57 AM,49.77,15,C,0,0,2.11843,0.98638,0.98638,0.00132,0.00275,0.00426,-0.12425,209.64,209.64999,209.64517,0.00017,49.645,-0.015,0,0,
SPY   160527C00161000,5/26/2016 8:45:00 AM,5/26/2016 8:44:58 AM,3770085,5/26/2016 8:44:52 AM,48.49,10,C,5/26/2016 8:44:57 AM,48.77,10,C,0,0,2.07582,0.98611,0.98611,0.00136,0.00294,0.00422,-0.12424,209.64,209.64999,209.64517,0.00017,48.645,-0.015,0,0,
SPY   160527C00162000,5/26/2016 8:45:00 AM,5/26/2016 8:44:58 AM,3770090,5/26/2016 8:44:52 AM,47.49,10,C,5/26/2016 8:44:57 AM,47.77,10,C,0,0,2.0329,0.98585,0.98585,0.00142,0.00282,0.0045,-0.12429,209.64,209.64999,209.64517,0.00017,47.645,-0.015,0,0,
SPY   160527C00163000,5/26/2016 8:45:00 AM,5/26/2016 8:44:58 AM,3770040,5/26/2016 8:44:52 AM,46.49,10,C,5/26/2016 8:44:57 AM,46.77,10,C,0,0,1.99019,0.98557,0.98557,0.00147,0.00298,0.00435,-0.1243,209.64,209.64999,209.64517,0.00017,46.645,-0.015,0,0,
SPY   160527C00164000,5/26/2016 8:45:00 AM,5/26/2016 8:44:58 AM,3770051,5/26/2016 8:44:52 AM,45.49,10,C,5/26/2016 8:44:57 AM,45.77,10,C,0,0,1.94764,0.98529,0.98529,0.00153,0.00313,0.00433,-0.12432,209.64,209.64999,209.64517,0.00017,45.645,-0.015,0,0,
SPY   160527C00165000,5/26/2016 8:45:00 AM,5/26/2016 8:44:58 AM,3770095,5/26/2016 8:44:52 AM,44.49,10,C,5/26/2016 8:44:57 AM,44.77,10,C,0,0,1.90524,0.985,0.985,0.00159,0.00298,0.00464,-0.12429,209.64,209.64999,209.64517,0.00017,44.645,-0.015,0,0,
SPY   160527C00166000,5/26/2016 8:45:00 AM,5/26/2016 8:44:58 AM,3770070,5/26/2016 8:44:52 AM,43.49,10,C,5/26/2016 8:44:57 AM,43.77,10,C,0,0,1.86347,0.98467,0.98467,0.00166,0.00305,0.00469,-0.1243,209.64,209.64999,209.64517,0.00017,43.645,-0.015,0,0,
SPY   160527C00167000,5/26/2016 8:45:00 AM,5/26/2016 8:44:58 AM,3770050,5/26/2016 8:44:54 AM,42.49,15,C,5/26/2016 8:44:57 AM,42.77,15,C,0,0,1.82175,0.98435,0.98435,0.00173,0.00309,0.005,-0.12427,209.64,209.64999,209.64517,0.00017,42.645,-0.015,0,0,
SPY   160527C00168000,5/26/2016 8:45:00 AM,5/26/2016 8:44:58 AM,3770068,5/26/2016 8:44:54 AM,41.49,15,C,5/26/2016 8:44:57 AM,41.77,15,C,0,0,1.77992,0.98402,0.98402,0.0018,0.00336,0.00463,-0.12435,209.64,209.64999,209.64517,0.00017,41.645,-0.015,0,0,
SPY   160527C00169000,5/26/2016 8:45:00 AM,5/26/2016 8:44:58 AM,3770073,5/26/2016 8:44:54 AM,40.49,15,C,5/26/2016 8:44:57 AM,40.77,15,C,0,0,1.73826,0.98367,0.98367,0.00187,0.0034,0.00512,-0.12434,209.64,209.64999,209.64517,0.00017,40.645,-0.015,0,0,
SPY   160527C00170000,5/26/2016 8:45:00 AM,5/26/2016 8:44:58 AM,3770067,5/26/2016 8:44:54 AM,39.49,15,C,5/26/2016 8:44:57 AM,39.77,15,C,0,0,1.69687,0.9833,0.9833,0.00196,0.00355,0.00493,-0.12437,209.64,209.64999,209.64517,0.00017,39.645,-0.015,0,0,
SPY   160527C00170500,5/26/2016 8:45:00 AM,5/26/2016 8:44:58 AM,3770081,5/26/2016 8:44:54 AM,38.99,15,C,5/26/2016 8:44:57 AM,39.27,15,C,0,0,1.67609,0.98312,0.98312,0.002,0.00355,0.00497,-0.12433,209.64,209.64999,209.64517,0.00017,39.145,-0.015,0,0,
SPY   160527C00171000,5/26/2016 8:45:00 AM,5/26/2016 8:44:58 AM,3770092,5/26/2016 8:44:54 AM,38.49,15,C,5/26/2016 8:44:57 AM,38.77,15,C,0,0,1.65572,0.98292,0.98292,0.00205,0.00343,0.00511,-0.1243,209.64,209.64999,209.64517,0.00017,38.645,-0.015,0,0,
SPY   160527C00171500,5/26/2016 8:45:00 AM,5/26/2016 8:44:58 AM,3770041,5/26/2016 8:44:54 AM,37.99,15,C,5/26/2016 8:44:57 AM,38.27,15,C,0,0,1.63501,0.98273,0.98273,0.00209,0.00355,0.00556,-0.12421,209.64,209.64999,209.64517,0.00017,38.145,-0.015,0,0,
SPY   160527C00172000,5/26/2016 8:45:00 AM,5/26/2016 8:44:58 AM,3770071,5/26/2016 8:44:54 AM,37.49,15,C,5/26/2016 8:44:57 AM,37.77,15,C,0,0,1.61376,0.98257,0.98257,0.00214,0.00401,0.00478,-0.1243,209.64,209.64999,209.64517,0.00017,37.645,-0.015,0,0,
SPY   160527C00172500,5/26/2016 8:45:00 AM,5/26/2016 8:44:58 AM,3770096,5/26/2016 8:44:54 AM,36.99,15,C,5/26/2016 8:44:57 AM,37.27,15,C,0,0,1.5937,0.98234,0.98234,0.00219,0.00362,0.00545,-0.12421,209.64,209.64999,209.64517,0.00017,37.145,-0.015,0,0,
SPY   160527C00173000,5/26/2016 8:45:00 AM,5/26/2016 8:44:58 AM,3770088,5/26/2016 8:44:54 AM,36.49,15,C,5/26/2016 8:44:57 AM,36.77,15,C,0,0,1.57304,0.98213,0.98213,0.00224,0.00374,0.00534,-0.12431,209.64,209.64999,209.64517,0.00017,36.645,-0.015,0,0,
SPY   160527C00173500,5/26/2016 8:45:00 AM,5/26/2016 8:44:58 AM,3770039,5/26/2016 8:44:54 AM,35.99,15,C,5/26/2016 8:44:57 AM,36.27,15,C,0,0,1.55261,0.98192,0.98192,0.00229,0.00408,0.00527,-0.12439,209.64,209.64999,209.64517,0.00017,36.145,-0.015,0,0,
SPY   160527C00174000,5/26/2016 8:45:00 AM,5/26/2016 8:44:58 AM,3770072,5/26/2016 8:44:54 AM,35.49,15,C,5/26/2016 8:44:57 AM,35.77,15,C,0,0,1.5325,0.98168,0.98168,0.00235,0.00389,0.00579,-0.12434,209.64,209.64999,209.64517,0.00017,35.645,-0.015,0,0,
SPY   160527C00174500,5/26/2016 8:45:00 AM,5/26/2016 8:44:58 AM,3770025,5/26/2016 8:44:54 AM,34.99,15,C,5/26/2016 8:44:57 AM,35.27,15,C,0,0,1.51176,0.98148,0.98148,0.0024,0.00385,0.00581,-0.12424,209.64,209.64999,209.64517,0.00017,35.145,-0.015,0,0,
SPY   160527C00175000,5/26/2016 8:45:00 AM,5/26/2016 8:44:58 AM,3770048,5/26/2016 8:44:54 AM,34.49,15,C,5/26/2016 8:44:57 AM,34.77,15,C,0,0,1.49128,0.98126,0.98126,0.00246,0.00404,0.00566,-0.12438,209.64,209.64999,209.64517,0.00017,34.645,-0.015,0,0,
SPY   160527C00175500,5/26/2016 8:45:00 AM,5/26/2016 8:44:58 AM,3770046,5/26/2016 8:44:54 AM,33.99,15,C,5/26/2016 8:44:57 AM,34.27,15,C,0,0,1.47108,0.98101,0.98101,0.00252,0.00408,0.00564,-0.12426,209.64,209.64999,209.64517,0.00017,34.145,-0.015,0,0,
SPY   160527C00176000,5/26/2016 8:45:00 AM,5/26/2016 8:44:58 AM,3770037,5/26/2016 8:44:54 AM,33.49,15,C,5/26/2016 8:44:57 AM,33.77,15,C,0,0,1.45077,0.98077,0.98077,0.00258,0.00416,0.0055,-0.12437,209.64,209.64999,209.64517,0.00017,33.645,-0.015,0,0,
